PUMFID,AGEGROUP,AGEGR_10,"When practicing recommended public health measures, which
source of information do you find the most helpful?","Which social media application do you use most often to discuss
topics about COVID-FacebookSina Weibo?
",BH_Filled prescriptions0A,BH_20B,BH_20C,BH_20D,BH_20E,BH_20F,BH_20G,BH_20H,BH_20I,BH_20J,BH_20K,BH_20L,BH_20M,"How concerned are you about each of the following impacts of
COVID-Not at all9?
My own health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Member of the household’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Vulnerable people’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
Canadian population’s health","How concerned are you about each of the following impacts of
COVID-Not at all9?
World population’s health
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Overloading the health system","How concerned are you about each of the following impacts of
COVID-Not at all9?
Civil disorder","How concerned are you about each of the following impacts of
COVID-Not at all9?
Maintaining social ties","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another during the crisis","How concerned are you about each of the following impacts of
COVID-Not at all9?
Ability to cooperate and support one another after the crisis
","How concerned are you about each of the following impacts of
COVID-Not at all9?
Family stress from confinement","How concerned are you about each of the following impacts of
COVID-Not at all9?
Violence in the home","In the last week, how often did you do each of the following activities","In the last week, how often did you do each of the following activities?
Used a delivery service for groceries or for a drugstore
","In the last week, how often did you do each of the following activities?
Used a food delivery service for prepared food
","In the last week, how often did you do each of the following activities?
Ate at a restaurant","In the last week, how often did you do each of the following activities?
Attended a public event","In the last week, how often did you do each of the following activities?
Travelled for work",What is your gender?,"To what extent do you agree or disagree with the following
statement?
I might lose my main job or main self-employment income source in
the next four weeks.","Which of the following best describes the impact of COVID-Major impact9 on your
ability to meet financial obligations or essential needs, such as rent or
mortgage payments, utilities and groceries?
",PRURURB,PPROV,VERDATE
2049,5,3,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,1,1,2,Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,Minor impact,2,AB,MAY
2050,5,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,2,1,1,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Very,Extremely,Somewhat,Not at all,1 to 3 times,1 to 3 times,1 to 3 times,Never,Never,Daily or more,Female,Strongly disagree,Moderate impact,2,NS,MAY
2051,3,2,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,2,2,Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Very,Not at all,Not at all,Never,1 to 3 times,Never,Never,Never,Never,Female,Not working at a job or business,No impact,1,ON,MAY
2052,2,2,Federal daily announcements by public health and political leaders,TikTok,Filled prescriptions,2,2,2,1,1,1,1,1,1,2,1,1,Very,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Very,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,MAY
2053,3,2,Federal daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,1,1,1,2,Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,1 to 3 times,1 to 3 times,1 to 3 times,Never,Never,Never,Male,Neither agree nor disagree,Moderate impact,2,QC,MAY
2054,3,2,Federal daily announcements by public health and political leaders,Snapchat,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,2,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Never or 5 times,Never,1 to 3 times,Never,Never,Never,Female,Agree,Moderate impact,2,ON,MAY
2055,3,2,"Provincial health agency Help text: e.g., website, public service announcements",Instagram,Filled prescriptions,2,1,2,1,1,1,1,1,1,1,2,2,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,1 to 3 times,Female,Agree,Major impact,1,BC,MAY
2056,4,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Extremely,Very,Extremely,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Very,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Disagree,No impact,2,BC,MAY
2057,7,4,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,2,1,1,1,1,2,2,2,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,ON,MAY
2058,5,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,2,2,2,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Moderate impact,1,NS,MAY
2059,5,3,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,Minor impact,2,ON,MAY
2060,10,6,"News outlets including local, national and international sources",Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,2,2,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Very,Very,Extremely,Extremely,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Not working at a job or business,No impact,2,NB,MAY
2061,3,2,Provincial daily announcements by public health and political leaders,TikTok,Stocked up on essentials at a grocery store or pharmacy,2,2,1,2,1,1,1,1,1,1,2,2,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Daily or more,Male,Agree,Moderate impact,2,AB,MAY
2062,4,3,Provincial daily announcements by public health and political leaders,Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,2,2,2,2,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,1 to 3 times,Never,Never,Never,Never,Never,Male,Neither agree nor disagree,Moderate impact,2,NB,MAY
2063,3,2,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,1,2,1,1,1,1,1,2,2,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Very,Extremely,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,1 to 3 times,Female,Strongly disagree,No impact,2,QC,MAY
2064,4,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,2,1,1,1,1,1,1,2,2,2,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Very,Extremely,Very,Very,Somewhat,Not at all,Never,1 to 3 times,Never,Never,Never,Never,Female,Agree,Major impact,2,BC,MAY
2065,5,3,"Provincial health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Extremely,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Agree,Too soon to tell,2,MB,MAY
2066,7,4,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Male,Disagree,No impact,2,ON,MAY
2067,6,4,Health professionals,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,MAY
2068,3,2,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,2,2,1,1,1,2,2,1,2,Very,Very,Extremely,Very,Somewhat,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,Minor impact,2,QC,AUG
2069,5,3,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,2,1,2,Very,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Extremely,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Female,Neither agree nor disagree,Minor impact,2,ON,AUG
2070,6,4,"Provincial health agency Help text: e.g., website, public service announcements",Snapchat,Filled prescriptions,2,2,2,2,2,1,1,1,2,1,1,2,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Very,Not at all,1 to 3 times,1 to 3 times,1 to 3 times,Never,Never,Never,Male,Strongly disagree,No impact,2,QC,AUG
2071,5,3,Federal daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,2,1,1,1,1,2,2,1,2,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never or 5 times,Female,Strongly agree,Major impact,2,ON,AUG
2072,5,3,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,2,2,2,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Major impact,2,ON,AUG
2073,5,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,1,1,2,Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Never,Never,Never,Never,Never,Never,Female,Strongly agree,Moderate impact,2,NS,AUG
2074,4,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Very,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Agree,Major impact,2,AB,AUG
2075,3,2,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Disagree,No impact,2,AB,AUG
2076,2,2,Health professionals,Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,1,2,2,2,Not at all,Not at all,Somewhat,Not at all,Not at all,Somewhat,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,1 to 3 times,1 to 3 times,Never,Never,Never,Male,Strongly disagree,No impact,2,QC,AUG
2077,3,2,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,2,1,1,1,1,1,1,1,1,2,Somewhat,Very,Extremely,Very,Extremely,Extremely,Very,Somewhat,Very,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Disagree,No impact,2,NL,AUG
2078,2,2,"Provincial health agency Help text: e.g., website, public service announcements",TikTok,Filled prescriptions,2,2,2,2,1,1,1,1,1,1,2,2,Not at all,Not at all,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Major impact,1,BC,AUG
2079,6,4,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,1,1,1,1,1,1,2,1,2,Very,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Never,1 to 3 times,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,ON,AUG
2080,4,3,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly disagree,No impact,2,SK,AUG
2081,6,4,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,1,2,2,1,1,1,1,2,1,1,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Male,Neither agree nor disagree,Minor impact,2,BC,AUG
2082,6,4,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,2,1,2,2,1,1,1,1,2,1,1,2,Not at all,Somewhat,Extremely,Somewhat,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Too soon to tell,2,BC,AUG
2083,4,3,Provincial daily announcements by public health and political leaders,Twitter,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,1,2,2,Not at all,Not at all,Somewhat,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1 to 3 times,9,Never,Never,Never,Never,Female,Agree,Major impact,2,BC,AUG
2084,3,2,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,2,2,1,2,Somewhat,Very,Extremely,Somewhat,Very,Extremely,Extremely,Very,Very,Somewhat,Somewhat,Somewhat,Never,Never,Never,1 to 3 times,Never,Never,Female,Disagree,No impact,2,QC,AUG
2085,8,5,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Instagram,Filled prescriptions,2,2,2,1,1,1,1,1,1,2,1,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Somewhat,Never,1 to 3 times,Never,Never,Never,Never,Female,Strongly disagree,Minor impact,2,ON,AUG
2086,4,3,"News outlets including local, national and international sourcesNews outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,1,2,Not at all,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,Too soon to tell,2,AB,AUG
2087,3,2,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,2,1,1,2,2,2,Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Daily or more,Male,Strongly disagree,No impact,2,ON,AUG
2088,1,1,"Federal health agency Help text: e.g., website, public service announcements",TikTok,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,2,Not at all,Somewhat,Very,Very,Very,Extremely,Very,Somewhat,Very,Very,Not at all,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Disagree,Minor impact,2,ON,AUG
2089,4,3,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,1,1,2,Very,Very,Extremely,Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Agree,Minor impact,2,BC,AUG
2090,10,6,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,1,2,1,1,1,1,2,2,2,Very,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Very,Very,Extremely,Somewhat,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Minor impact,2,ON,AUG
2091,1,1,"News outlets including local, national and international sources",Twitter,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,2,1,2,Very,Very,Very,Extremely,Very,9,Very,Not at all,Somewhat,Somewhat,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Not working at a job or business,Major impact,2,ON,AUG
2092,1,1,Health professionals,TikTok,Stocked up on essentials at a grocery store or pharmacy,2,1,2,1,1,1,1,1,1,1,1,2,Not at all,Not at all,Somewhat,Not at all,Not at all,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Male,Strongly agree,Minor impact,2,MB,AUG
2093,1,1,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Very,Very,Very,Extremely,Very,Very,Somewhat,Somewhat,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Disagree,Moderate impact,2,BC,AUG
2094,10,6,"News outlets including local, national and international sources",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,2,2,2,2,Very,Very,Very,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Never,Never,Never,Never,9,Never,Male,Not working at a job or business,No impact,2,ON,AUG
2095,5,3,Provincial daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,1,2,2,2,Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Female,Disagree,No impact,2,QC,AUG
2096,4,3,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,2,2,1,2,Somewhat,Somewhat,Very,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,1 to 3 times,1 to 3 times,Never,Never,Never,Never,Female,Disagree,Moderate impact,2,ON,AUG
2097,3,2,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Agree,Moderate impact,2,ON,AUG
2098,6,4,Federal daily announcements by public health and political leaders,Facebook,Filled prescriptions,2,2,1,1,1,1,1,1,2,1,1,2,Somewhat,Somewhat,Very,Very,Very,Extremely,Not at all,Somewhat,Very,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,Minor impact,2,BC,AUG
2099,7,4,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,1,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Somewhat,Very,Very,Extremely,Somewhat,Very,Very,Very,Not at all,1 to 3 times,9,9,9,9,9,Female,Strongly agree,No impact,2,ON,AUG
2100,4,3,"Provincial health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,1,1,1,1,1,1,1,1,1,2,2,Somewhat,Very,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Disagree,No impact,2,BC,AUG
2101,8,5,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,2,2,2,2,2,1,1,1,1,1,2,2,Not at all,Not at all,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Never or 5 times,Never,Never,Never,Never,Never or 5 times,Male,Agree,Major impact,2,ON,AUG
2102,4,3,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,1,1,1,1,1,2,1,2,Very,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Not at all,Very,Not at all,Not at all,Not at all,Never,Never,1 to 3 times,Never,Never,1 to 3 times,Female,Strongly disagree,No impact,2,ON,AUG
2103,2,2,"Provincial health agency Help text: e.g., website, public service announcements",Twitter,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,1,2,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Very,Very,Very,Not at all,1 to 3 times,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Disagree,Too soon to tell,2,AB,AUG
2104,5,3,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,1,2,1,2,Somewhat,Somewhat,Very,Very,Extremely,Very,Very,Not at all,Somewhat,Not at all,Not at all,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Strongly agree,Major impact,2,ON,AUG
2105,4,3,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Filled prescriptions,2,2,2,2,2,1,1,1,1,1,1,2,Not at all,Not at all,Very,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly agree,Major impact,1,BC,AUG
2106,3,2,"Family, friends or colleagues",Snapchat,Filled prescriptions,2,1,2,1,1,1,1,1,2,1,1,2,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Very,Not at all,Never,Never,Never,Never,Never,Never,Male,Neither agree nor disagree,Minor impact,2,MB,AUG
2107,9,5,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,2,1,2,2,2,2,Very,Very,9,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Very,Not at all,1 to 3 times,9,9,9,9,9,Female,Strongly agree,Major impact,1,ON,AUG
2108,9,5,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,1,2,1,1,1,1,1,1,2,2,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Agree,Minor impact,2,NS,AUG
2109,3,2,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Twitter,Filled prescriptions,2,2,2,2,1,1,1,2,2,2,1,2,Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Extremely,Extremely,Extremely,Very,Very,Never,1 to 3 times,1 to 3 times,Never,Never,Never,Female,Neither agree nor disagree,Moderate impact,2,ON,AUG
2110,3,2,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,1,1,1,1,1,1,1,2,2,2,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Very,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never or 5 times,Female,Strongly disagree,Minor impact,2,ON,AUG
2111,6,4,Federal daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,1,1,1,1,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Not at all,Daily or more,Never,Never,Never,Never,Never,Male,Neither agree nor disagree,Major impact,2,ON,AUG
2112,3,2,"Federal health agency Help text: e.g., website, public service announcements",Instagram,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,2,2,2,Very,Very,Extremely,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Never,1 to 3 times,Never,Never,Never,Never,Male,Strongly disagree,No impact,2,ON,AUG
2113,2,2,"News outlets including local, national and international sources",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,2,1,2,Not at all,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Never,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Major impact,1,ON,AUG
2114,10,6,Health professionals,Instagram,Filled prescriptions,2,2,2,2,1,1,2,1,1,1,1,2,Somewhat,Somewhat,Not at all,Very,Very,Extremely,Very,Very,Very,Extremely,Very,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Male,Neither agree nor disagree,Minor impact,2,BC,AUG
2115,3,2,"Family, friends or colleagues",Instagram,Filled prescriptions,2,2,2,2,1,1,1,1,1,2,2,2,Somewhat,Extremely,Very,Extremely,Extremely,Somewhat,Very,Not at all,Very,Very,Very,Not at all,Never,Never,1 to 3 times,Never,Never,Daily or more,Female,Neither agree nor disagree,Major impact,2,MB,AUG
2116,9,5,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Filled prescriptions,2,2,2,1,1,1,1,1,2,2,2,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,1 to 3 times,Never,Never,Never,Never,Never,Female,Strongly disagree,No impact,2,ON,AUG
2117,10,6,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,1,1,1,1,1,1,1,2,1,Very,Not at all,Extremely,Very,Very,Very,Somewhat,Extremely,Extremely,Very,Extremely,Not at all,Never,Never,1 to 3 times,Never,Never,Never,Female,Not working at a job or business,Moderate impact,2,ON,AUG
2118,9,5,"Federal health agency Help text: e.g., website, public service announcements",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,2,2,2,2,1,1,1,1,1,1,2,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,1 to 3 times,Never,1 to 3 times,Never,Never,Never,Female,Agree,Moderate impact,2,ON,AUG
2119,7,4,"Social media Help text: e.g., Facebook, Instagram, SnapChat, TikTok, Twitter, YouTube",Facebook,Stocked up on essentials at a grocery store or pharmacy,1,1,2,1,1,1,1,1,1,2,1,2,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,Never,Female,Neither agree nor disagree,Major impact,1,AB,AUG
2120,4,3,Provincial daily announcements by public health and political leaders,Facebook,Stocked up on essentials at a grocery store or pharmacy,2,2,2,2,1,1,1,1,2,1,1,2,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,1 to 3 times,Never,Never,Never,Never,1 to 3 times,Female,Strongly agree,Major impact,1,MB,AUG
