"Own
",Household,Vulnerable,CanadaPopHealth,WorldPopHealth,Overload,CivilDisorder,MaintainingSocials,CooperationDuring,"CooperationAfter
","
FamilyStress","
ViolenceHome",Gender,JobLos,Finance,Province,VERDATE
Somewhat,Somewhat,Extremely,Very,Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Male,Agree,Major impact,Ontario,NOV
Extremely,Extremely,Extremely,Very,Very,Very,Not at all,Somewhat,Extremely,Somewhat,Very,Not at all,Male,Not working at a job or business,No impact,Ontario,NOV
Somewhat,Somewhat,Extremely,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Very,Not at all,Female,Strongly disagree,Minor impact,Newfoundland and Labrador,NOV
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Extremely,Very,Somewhat,Not at all,Not at all,Female,Strongly disagree,Minor impact,Ontario,NOV
Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Extremely,Not at all,Somewhat,Very,Somewhat,Not at all,Male,Agree,Too soon to tell,Ontario,NOV
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Not working at a job or business,Moderate impact,Ontario,NOV
Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,British Columbia,NOV
Very,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,Ontario,NOV
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,NOV
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,British Columbia,NOV
Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Extremely,Extremely,Extremely,Very,Not at all,Male,Neither agree nor disagree,Minor impact,Ontario,APRIL
Somewhat,Somewhat,Extremely,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,British Columbia,APRIL
Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Not at all,Somewhat,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,Ontario,APRIL
Not at all,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Male,Agree,Moderate impact,Alberta,APRIL
Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Extremely,Female,Not working at a job or business,No impact,Ontario,APRIL
Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Very,Somewhat,Extremely,Not at all,Female,Neither agree nor disagree,Major impact,Ontario,APRIL
Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,Major impact,Ontario,APRIL
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,Too soon to tell,Alberta,APRIL
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,Alberta,APRIL
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Disagree,No impact,British Columbia,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Male,Agree,Minor impact,Ontario,MAY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Agree,Moderate impact,Ontario,MAY
Extremely,Somewhat,Extremely,Very,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Female,Neither agree nor disagree,No impact,Ontario,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Major impact,British Columbia,MAY
Extremely,Extremely,Very,Somewhat,Somewhat,Extremely,Not at all,Not at all,Somewhat,Very,Not at all,Not at all,Female,Strongly disagree,No impact,British Columbia,MAY
Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Disagree,Moderate impact,Ontario,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Somewhat,9,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly agree,Moderate impact,Ontario,MAY
Very,Very,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,Alberta,MAY
Very,Very,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Strongly agree,Major impact,Quebec,MAY
Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,Ontario,MAY
Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Female,Neither agree nor disagree,Too soon to tell,British Columbia,MAY
Very,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Not at all,Male,Strongly disagree,Minor impact,Ontario,MAY
Very,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Female,Disagree,No impact,British Columbia,MAY
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,Ontario,MAY
Very,Very,Extremely,Very,Extremely,Extremely,Not at all,Very,Very,Very,Somewhat,Not at all,Male,Not working at a job or business,No impact,Ontario,APRIL
Not at all,Not at all,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Extremely,Extremely,Very,Not at all,Female,Strongly agree,Moderate impact,Alberta,APRIL
Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Somewhat,Extremely,Not at all,Female,Disagree,Moderate impact,British Columbia,APRIL
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Very,Not at all,Female,Disagree,Major impact,Saskatchewan,APRIL
Not at all,Somewhat,Very,Not at all,Somewhat,Extremely,Very,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Not working at a job or business,Major impact,Ontario,APRIL
Somewhat,Somewhat,Extremely,Extremely,Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Extremely,Not at all,Male,Strongly agree,Moderate impact,Manitoba,APRIL
Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Not working at a job or business,No impact,Ontario,APRIL
Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Very,Somewhat,Very,Somewhat,Somewhat,Female,Not working at a job or business,Minor impact,Quebec,APRIL
Not at all,Not at all,Very,Somewhat,Somewhat,Very,Not at all,Very,Somewhat,Not at all,Somewhat,Not at all,Female,Disagree,Too soon to tell,Ontario,APRIL
Somewhat,Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly agree,Too soon to tell,British Columbia,APRIL
Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,Alberta,APRIL
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Male,Strongly disagree,No impact,Ontario,APRIL
Very,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Too soon to tell,Nova Scotia,APRIL
Very,Somewhat,Very,Somewhat,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,British Columbia,APRIL
Very,Very,Extremely,Very,Very,Very,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Female,Agree,Too soon to tell,Ontario,APRIL
Not at all,Very,Very,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,Ontario,APRIL
Somewhat,Very,Extremely,Somewhat,Very,Extremely,Very,Extremely,Extremely,Very,Somewhat,Somewhat,Male,Strongly disagree,No impact,Quebec,APRIL
Somewhat,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,Ontario,APRIL
Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Not at all,Not at all,Somewhat,Very,Very,Not at all,Female,Not working at a job or business,Moderate impact,Manitoba,APRIL
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Extremely,Not at all,Very,Somewhat,Not at all,Not at all,Female,Disagree,Minor impact,Quebec,APRIL
Somewhat,Not at all,Very,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Not working at a job or business,Major impact,Ontario,APRIL
Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,Nova Scotia,APRIL
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,No impact,Newfoundland and Labrador,APRIL
Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Male,Neither agree nor disagree,Minor impact,Manitoba,APRIL
Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Female,Strongly disagree,Minor impact,Ontario,APRIL
Very,Extremely,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Very,Not at all,Very,Male,Strongly disagree,Moderate impact,Quebec,APRIL
Extremely,Not at all,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Not at all,Not at all,Female,Disagree,Too soon to tell,British Columbia,APRIL
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Male,Strongly agree,Moderate impact,Ontario,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,British Columbia,APRIL
Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly agree,Moderate impact,Ontario,APRIL
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,Ontario,APRIL
Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,Nova Scotia,APRIL
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly agree,Moderate impact,Manitoba,APRIL
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,No impact,Nunavut,APRIL
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Agree,No impact,Nunavut,APRIL
Somewhat,Somewhat,Extremely,Very,Extremely,Somewhat,Not at all,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Agree,No impact,British Columbia,APRIL
Somewhat,Somewhat,Extremely,Extremely,Very,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,Ontario,APRIL
Very,Very,Very,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Very,Very,Female,Strongly disagree,Moderate impact,Saskatchewan,APRIL
Somewhat,Somewhat,Very,Very,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,Ontario,APRIL
Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Extremely,Somewhat,Not at all,Female,Neither agree nor disagree,Minor impact,Ontario,APRIL
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Very,Not at all,Female,Agree,Major impact,Manitoba,APRIL
Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Somewhat,Female,Agree,Too soon to tell,Ontario,APRIL
Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Female,Strongly disagree,Minor impact,Ontario,APRIL
Very,Not at all,Very,Very,Very,Extremely,Very,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,No impact,Nova Scotia,APRIL
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Not at all,Not at all,Female,Strongly agree,Major impact,Prince Edward Island,APRIL
Somewhat,Somewhat,Not at all,Very,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,Alberta,APRIL
Somewhat,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,Ontario,APRIL
Extremely,Very,Extremely,Somewhat,Somewhat,Very,Extremely,Somewhat,Extremely,Extremely,Very,Somewhat,Female,Strongly agree,Major impact,Saskatchewan,APRIL
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,British Columbia,APRIL
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,Alberta,APRIL
Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Extremely,Extremely,Extremely,Not at all,Male,Strongly disagree,Major impact,Ontario,APRIL
Somewhat,Extremely,Extremely,Extremely,Somewhat,Very,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,Ontario,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,Ontario,APRIL
Somewhat,Very,Very,Somewhat,Somewhat,Very,Very,Not at all,Somewhat,Very,Very,Not at all,Male,Strongly agree,Major impact,Nova Scotia,APRIL
Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Extremely,Extremely,Extremely,Somewhat,Somewhat,Male,Agree,Major impact,Quebec,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Female,Strongly disagree,Minor impact,Alberta,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,Not at all,Not at all,Female,Strongly agree,Major impact,Ontario,MAY
Not at all,Not at all,Very,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,Ontario,MAY
Not at all,Extremely,Extremely,Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Female,Agree,Too soon to tell,Ontario,MAY
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Very,Very,Very,Very,Extremely,Somewhat,Female,Not working at a job or business,Too soon to tell,British Columbia,MAY
Very,Very,Extremely,Extremely,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly agree,Major impact,British Columbia,MAY
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Disagree,Too soon to tell,Ontario,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Male,Strongly disagree,Minor impact,Ontario,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Extremely,Very,Somewhat,Very,Somewhat,Very,Somewhat,Male,Agree,Minor impact,British Columbia,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Male,Strongly disagree,No impact,Ontario,MAY
Not at all,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,Ontario,MAY
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Agree,Too soon to tell,Ontario,MAY
Somewhat,Somewhat,Very,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Very,Very,Very,Female,Strongly agree,Major impact,British Columbia,MAY
Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Not working at a job or business,No impact,Ontario,MAY
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Extremely,Not at all,Female,Strongly disagree,Moderate impact,Ontario,MAY
Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Extremely,Extremely,Very,Very,Not at all,Female,Not working at a job or business,Too soon to tell,British Columbia,MAY
Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,Moderate impact,British Columbia,MAY
Very,Very,Extremely,Extremely,Very,Extremely,Very,Not at all,Very,Very,Somewhat,Somewhat,Female,Strongly disagree,No impact,British Columbia,MAY
Somewhat,Extremely,Extremely,Very,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,Ontario,MAY
Very,Very,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Not at all,Not at all,Male,Strongly disagree,No impact,Ontario,MAY
Very,Very,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Neither agree nor disagree,No impact,Ontario,MAY
Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,Ontario,MAY
Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Not at all,Extremely,Extremely,Somewhat,Not at all,Female,Strongly agree,No impact,Nova Scotia,MAY
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly agree,Major impact,New Brunswick,MAY
Not at all,Very,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,Ontario,MAY
Somewhat,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,Ontario,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Extremely,Somewhat,Very,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,Alberta,MAY
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Female,Strongly disagree,Minor impact,Ontario,MAY
Somewhat,Very,Very,Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Extremely,Not at all,Female,Not working at a job or business,Minor impact,New Brunswick,MAY
Not at all,Not at all,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Strongly disagree,No impact,Ontario,MAY
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Not working at a job or business,Major impact,British Columbia,MAY
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Male,Strongly agree,No impact,British Columbia,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Extremely,Very,Somewhat,Not at all,Male,Disagree,Moderate impact,British Columbia,MAY
Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly agree,Moderate impact,British Columbia,MAY
Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Not at all,Female,Strongly agree,Major impact,Ontario,MAY
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,Ontario,MAY
Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,Moderate impact,Nova Scotia,MAY
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Female,Agree,Moderate impact,Nova Scotia,MAY
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Extremely,Very,Female,Neither agree nor disagree,Too soon to tell,Ontario,MAY
Very,Very,Very,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,British Columbia,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Extremely,Not at all,Female,Strongly disagree,No impact,Ontario,MAY
Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Neither agree nor disagree,Moderate impact,Ontario,MAY
Not at all,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Not at all,Very,Very,Male,Strongly disagree,Moderate impact,Quebec,MAY
Somewhat,Very,Extremely,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Moderate impact,Ontario,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Too soon to tell,Manitoba,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,Alberta,MAY
Very,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Extremely,Extremely,Somewhat,Not at all,Female,Strongly disagree,No impact,Quebec,MAY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Not at all,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly disagree,Minor impact,Ontario,MAY
Somewhat,Extremely,Very,Very,Very,Very,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Male,Disagree,No impact,Quebec,MAY
Somewhat,Somewhat,Somewhat,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,Too soon to tell,Nova Scotia,MAY
Somewhat,Somewhat,Very,Very,Extremely,Very,Somewhat,Not at all,Somewhat,Somewhat,Extremely,Not at all,Female,Strongly disagree,No impact,Quebec,MAY
Not at all,Not at all,Extremely,Very,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Extremely,Female,Strongly disagree,No impact,Quebec,MAY
Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Very,Female,Agree,Too soon to tell,British Columbia,MAY
Somewhat,Very,Very,Somewhat,Very,Extremely,Extremely,Very,Very,Extremely,Very,Very,Female,Disagree,No impact,Ontario,MAY
Somewhat,Somewhat,Extremely,Somewhat,Not at all,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,Alberta,MAY
Somewhat,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Disagree,No impact,Ontario,MAY
Somewhat,Somewhat,Somewhat,Extremely,Very,Extremely,Not at all,Very,Somewhat,Very,Very,Not at all,Female,Not working at a job or business,Minor impact,Quebec,MAY
Extremely,Very,Somewhat,Very,Very,Very,Not at all,Not at all,Not at all,Somewhat,Very,Not at all,Female,Not working at a job or business,No impact,Ontario,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Female,Not working at a job or business,Moderate impact,Ontario,MAY
Not at all,Not at all,Somewhat,Very,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Male,Strongly disagree,No impact,Quebec,MAY
Somewhat,Somewhat,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly agree,Major impact,Alberta,MAY
Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Somewhat,Very,Male,Strongly disagree,Too soon to tell,Quebec,MAY
Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Female,Disagree,Major impact,Ontario,MAY
Somewhat,Not at all,Extremely,Very,Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,British Columbia,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Not at all,Very,Extremely,Female,Strongly agree,Major impact,Manitoba,MAY
Very,Somewhat,Extremely,Very,Very,Extremely,Not at all,Very,Extremely,Extremely,Very,Not at all,Female,Strongly agree,Major impact,British Columbia,MAY
Extremely,Very,Very,Very,Somewhat,Very,Very,Extremely,Very,Very,Extremely,Somewhat,Male,Disagree,Minor impact,Ontario,MAY
Somewhat,Extremely,Very,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Male,Neither agree nor disagree,Minor impact,Ontario,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Disagree,No impact,Ontario,MAY
Somewhat,Not at all,Extremely,Very,Very,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Very,Female,Not working at a job or business,Moderate impact,Nova Scotia,MAY
Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,Manitoba,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Minor impact,British Columbia,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Disagree,Minor impact,Nova Scotia,MAY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Very,Somewhat,Very,Extremely,Extremely,Female,Strongly disagree,No impact,Ontario,MAY
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Male,Disagree,No impact,Ontario,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Not at all,Very,Not at all,Female,Strongly disagree,Minor impact,Manitoba,MAY
Somewhat,Very,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Very,Not at all,Female,Agree,Moderate impact,Ontario,MAY
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Disagree,Minor impact,Alberta,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Very,Extremely,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,Nova Scotia,MAY
